"名称","住所","住所1","住所2","住所3","電話","FAX","利用時間","階数","定休日","駐車場","敷地内の状況および施設入口","誘導施設","案内設備","昇降設備","トイレ","公衆電話","その他の設備","備考","カテゴリー","経度","緯度","分類"
"ザダイソー100YENPLAZA素材発信館","伊都郡かつらぎ町大字佐野字島田889-2、894-1","和歌山県","伊都郡かつらぎ町","大字佐野字島田889-2、894-1","0736-23-3350","0736-23-3350","9:00～21:00","地上１階","年中無休","◎一般駐車場　有り：２５０台<br>◎障害者用駐車場　有り：５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","","","","","大規模小売店舗","135.487097463982","34.2922425379974","大規模小売店舗"
"コーナンホームストックかつらぎ店","伊都郡かつらぎ町佐野833-1","和歌山県","伊都郡かつらぎ町","佐野833-1","0736-23-3715","0736-23-3736","9:30～20:00（日祝9:00～20:00）","地上１階","不定休","◎一般駐車場　有り：２７台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎展示車椅子利用可","","大規模小売店舗","135.488864828655","34.2930758626496","大規模小売店舗"
"松源パイン高野口店","橋本市名倉199-1","和歌山県","橋本市","名倉199-1","0736-43-1695","0736-43-1696","9:30～21:00","地上１階","1/1～5","◎一般駐車場　有り：８７台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","◎洋式大便所　有り：１箇所","","","","大規模小売店舗","135.553970697485","34.3032696876833","大規模小売店舗"
"シューズ＆バッグ　こにし","橋本市高野口町名倉１９６－１","和歌山県","橋本市","高野口町名倉１９６－１","0736-42-2277","0736-42-4433","9:00～20:00","地上１階","第２・第３水曜日","◎一般駐車場　有り：１２台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（店舗奥）<br>◎洋式大便所　有り<br>◎手すり付き便所　有り","","","","大規模小売店舗","135.554442867825","34.3029919268994","大規模小売店舗"
"(株)松源伏原店","橋本市伏原字薮田106他","和歌山県","橋本市","伏原字薮田106他","0736-42-5593","0736-44-1035","9:00～21:00","地上１階","なし","◎一般駐車場　有り：１１５台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（入口玄関横）","","◎授乳室　有り：１室（女子トイレ横）","","大規模小売店舗","135.569858470892","34.3070751705582","大規模小売店舗"
"オークワ高野口店","橋本市高野口町伏原139-1","和歌山県","橋本市","高野口町伏原139-1","0736-42-5575","0736-42-5677","9:00～23:00","地上２階","なし","◎一般駐車場　有り：２６２台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎他の誘導設備：インターフォン","","◎エスカレーター　有り","◎障害者（車椅子）用便所　有り：１箇所（１Ｆ西側階段横）<br>◎洋式大便所　有り：４箇所","","◎車椅子の常備　有り：２台（１Ｆ障害者用便所入口横）<br>◎キャッシュコーナー　有り","◎障害者の方はインターホン等でサービスカウンターに連絡していただければ従業員が車椅子等の介添えをいたします。又、２階への移動は一般エレベーターが無いため、業務用エレベーターの利用で対応いたします。","大規模小売店舗","135.569589799354","34.303993564642","大規模小売店舗"
"花園生産物直売所","伊都郡かつらぎ町花園久木20","和歌山県","伊都郡かつらぎ町","花園久木20","0737-26-0888","","9:00～17:00","地上１階","12/1～3/15","◎一般駐車場　有り：８０台","◎施設入口への車椅子利用：可","","◎一般案内　有り","","","◎車椅子用電話　有り：１箇所","","◎平成９年度は11月23日より３月中旬まで閉店。","大規模小売店舗","135.587531482791","34.1469983429592","大規模小売店舗"
"ゴトウ本店県庁前店","和歌山市真砂町1丁目1-57","和歌山県","和歌山市","真砂町1丁目1-57","073-428-0510","073-436-0510","9:00～22:00","地上４階","無休","◎一般駐車場　有り：２２台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターフォン","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：１箇所","◎車椅子用電話　有り：１箇所<br>◎難聴者用電話　有り：１箇所","","","大規模小売店舗","135.169449471307","34.2242168985245","大規模小売店舗"
"イズミヤ和歌山店","和歌山市新生町7-20","和歌山県","和歌山市","新生町7-20","073-427-0550","073-424-8141","10:00～20:00","地上２階","木曜","◎一般駐車場　有り：１３００台<br>◎障害者用駐車場　有り：６台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・音声案内）<br>◎エスカレーター　有り","◎障害者（車椅子）用便所　有り：１箇所（１Ｆ）","","◎授乳室　有り：１室（２Ｆ）<br>◎車椅子の常備　有り：３台","◎盲導犬ＯＫ。","大規模小売店舗","135.187448138426","34.2213009275062","大規模小売店舗"
"オークワ屋形店","和歌山市屋形町４丁目29","和歌山県","和歌山市","屋形町４丁目29","073-424-1191","073-426-3269","9:30～20:00","地上３階","水曜","◎一般駐車場　有り：１７５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎エスカレーター　有り","","◎車椅子用電話　有り","◎車椅子の常備　有り：２台","◎２階トイレ横にベビーベッドあり。","大規模小売店舗","135.177948758086","34.224966950696","大規模小売店舗"
"プライスカット　ヒラマツ　太田店","和歌山市太田100-1","和歌山県","和歌山市","太田100-1","073-474-8855","073-474-8900","9:00～24:00","地上２階","年中無休","◎一般駐車場　有り：１００台<br>◎障害者用駐車場　有り","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り","◎車イス用カゴが有ります。","大規模小売店舗","135.193780999769","34.227161552676","大規模小売店舗"
"近鉄百貨店","和歌山市友田町５丁目18","和歌山県","和歌山市","友田町５丁目18","073-433-1122","073-433-1815","10:00～19:00","地上５階、地下１階","木曜（不定期）","◎一般駐車場　有り：５９６台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）<br>◎エスカレーター　有り","◎障害者（車椅子）用便所　有り：１箇所（４Ｆベビー相談室付近）<br>◎洋式大便所　有り：１箇所","◎車椅子用電話　有り：６箇所<br>◎難聴者用電話　有り：１箇所","◎授乳室　有り：（４Ｆベビー相談室）<br>◎車椅子の常備　有り：３台","","大規模小売店舗","135.190447733818","34.2329386763503","大規模小売店舗"
"洋服の青山宮街道店","和歌山市太田199-1","和歌山県","和歌山市","太田199-1","073-474-1146","073-474-1147","10:00～20:00","地上２階","なし","◎一般駐車場　有り：４４台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","大規模小売店舗","135.197780699328","34.2284393276538","大規模小売店舗"
"A-プライス和歌山店","和歌山市広瀬中ノ丁2丁目55番地","和歌山県","和歌山市","広瀬中ノ丁2丁目55番地","073-432-2041","073-432-2158","9:30～18:30","地上１階","なし","◎一般駐車場　有り：２０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所","","","","大規模小売店舗","135.183391442783","34.2257839129499","大規模小売店舗"
"ホームセンターコーナン和歌山店","和歌山市南片原２丁目１番地","和歌山県","和歌山市","南片原２丁目１番地","073-435-0157（代）","073-435-0161","9:30～20:00","地上２階","元日他","◎一般駐車場　有り：２５０～２６０台<br>◎障害者用駐車場　有り：４台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）<br>◎エスカレーター　有り","◎障害者（車椅子）用便所　有り：２箇所（店外１階）<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：２台（１階１台、２階１台）","◎１，２，Ｒ共駐車場あります。各階共障害者対応入口があります。","大規模小売店舗","135.181256329148","34.2241257449892","大規模小売店舗"
"スーパードラックイレブンぶらくり店","和歌山市元寺町３丁目53","和歌山県","和歌山市","元寺町３丁目53","073-427-8001","073-402-0588","9:00～23:00","地上１階","無休","◎一般駐車場　有り：１４台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック：　有り<br>◎他の誘導設備：　有り","","","◎障害者（車椅子）用便所　有り：１箇所（外部アプローチから直接入れます）","","","◎外部からのアプローチで障害者用便所が使用できます(使用は営業時間内のみ)。","大規模小売店舗","135.17671098663","34.2368826281363","大規模小売店舗"
